city,country,growth,latitude,longitude,population,year,continent,gdp_per_capita,ECI,hdi
ljubljana,slovenia,Developed economies,46.0569465,14.5057515,279650,2010,Southern Europe,36153,1.4319,0.902
nairobi,kenya,Developing economies,-1.2920659,36.8219462,3109861,2010,Eastern Africa,3258,-0.747829,0.579
nairobi,kenya,Developing economies,-1.2920659,36.8219462,3109861,2010,Eastern Africa,3258,-0.747829,0.579
porto,portugal,Developed economies,41.1579438,-8.6291053,214353,2010,Southern Europe,32554,0.258555,0.85
malacca,malaysia,Developing economies,2.194418,102.249063,788706,2010,South-eastern Asia,30004,0.971372,0.804
menlo park,united states,Developed economies,37.4529598,-122.1817252,34357,2010,Northern America,59928,1.75541,0.92
singapore,singapore,Developing economies,1.2831593,103.8530435,0,2010,South-eastern Asia,96553,1.86534,0.935
perth,australia,Developed economies,-31.9505269,115.8604572,27340,2010,Oceania,49654,0.0863035,0.938
london,united kingdom,Developed economies,51.5141736,-0.1307411,8825001,2010,Northern Europe,44896,1.53259,0.92
timișoara,romania,Developed economies,45.7488716,21.2086793,315053,2010,Eastern Europe,26596,0.713669,0.816
san josé,costa rica,Developing economies,9.9280694,-84.0907246,342188,2010,Central America,16976,0.237988,0.794
singapore,singapore,Developing economies,1.2831593,103.8530435,0,2010,South-eastern Asia,96553,1.86534,0.935
vellore,india,Developing economies,12.9165167,79.1324986,177081,2010,Southern Asia,7169,0.359807,0.647
chennai,india,Developing economies,13.0826802,80.2707184,7163000,2010,Southern Asia,7169,0.359807,0.647
metropolitan city of florence,italy,Developed economies,43.6657011,11.4225592,0,2010,Southern Europe,40981,1.11743,0.883
boston,united states,Developed economies,42.3600825,-71.0588801,673184,2010,Northern America,59928,1.75541,0.92
beijing,china,Developing economies,39.9041999,116.4073963,21516000,2010,Eastern Asia,16782,0.691307,0.758
pune,india,Developing economies,18.5204303,73.8567437,4672000,2010,Southern Asia,7169,0.359807,0.647
kansas city,united states,Developed economies,39.0997265,-94.5785667,151709,2010,Northern America,59928,1.75541,0.92
stockholm,sweden,Developed economies,59.3293235,18.0685808,789024,2010,Northern Europe,51405,1.80773,0.937
taipei,taiwan,Developing economies,25.0329694,121.5654177,6900273,2010,Eastern Asia,50500,NA,NA
princeton,united states,Developed economies,40.3572976,-74.6672226,31822,2010,Northern America,59928,1.75541,0.92
washington,united states,Developed economies,47.7510741,-120.7401385,681170,2010,Northern America,59928,1.75541,0.92
los altos,united states,Developed economies,37.3852183,-122.1141298,30743,2010,Northern America,59928,1.75541,0.92
calgary,canada,Developed economies,51.0447331,-114.0718831,1311833,2010,Northern America,46723,1.05671,0.922
washington,united states,Developed economies,47.7510741,-120.7401385,681170,2010,Northern America,59928,1.75541,0.92
winnetka,united states,Developed economies,42.1080834,-87.735895,12480,2010,Northern America,59928,1.75541,0.92
seoul,south korea,Developing economies,37.555338,126.973312,10197604,2010,Eastern Asia,38824,1.77613,0.906
dubai,united arab emirates,Developing economies,25.2048493,55.2707828,1089000,2010,Western Asia,73356,0.128674,0.866
chapel hill,united states,Developed economies,35.9131996,-79.0558445,59862,2010,Northern America,59928,1.75541,0.92
seoul,south korea,Developing economies,37.555338,126.973312,10197604,2010,Eastern Asia,38824,1.77613,0.906
new york,united states,Developed economies,40.8447819,-73.8648268,8622698,2010,Northern America,59928,1.75541,0.92
washington,united states,Developed economies,47.7510741,-120.7401385,681170,2010,Northern America,59928,1.75541,0.92
cambridge,united kingdom,Developed economies,52.205337,0.121817,128488,2010,Northern Europe,44896,1.53259,0.92
portland,united states,Developed economies,45.5051064,-122.6750261,639863,2010,Northern America,59928,1.75541,0.92
new york,united states,Developed economies,40.7127753,-74.0059728,8622698,2010,Northern America,59928,1.75541,0.92
yangon,myanmar (burma),Developing economies,16.840939,96.173526,4088000,2010,South-eastern Asia,6172,-1.27821,0.584
warsaw,poland,Developed economies,52.2296756,21.0122287,1754511,2010,Eastern Europe,29931,1.09432,0.872
johannesburg,south africa,Developing economies,-26.2041028,28.0473051,957441,2010,Southern Africa,13464,0.268797,0.705
suwon-si,south korea,Developing economies,37.2635727,127.0286009,1078000,2010,Eastern Asia,38824,1.77613,0.906
moscow,russia,Transition economies,55.755826,37.6172999,12197596,2010,Eastern Europe,25767,0.852045,0.824
zhukovskiy,russia,Transition economies,55.5974912,38.1132562,106555,2010,Eastern Europe,25767,0.852045,0.824
edmonton,canada,Developed economies,53.5461245,-113.4938229,1004947,2010,Northern America,46723,1.05671,0.922
kansas city,united states,Developed economies,39.0997265,-94.5785667,151709,2010,Northern America,59928,1.75541,0.92
new york,united states,Developed economies,40.7127753,-74.0059728,8622698,2010,Northern America,59928,1.75541,0.92
colorado springs,united states,Developed economies,38.8338816,-104.8213634,465101,2010,Northern America,59928,1.75541,0.92
winterthur,switzerland,Developed economies,47.4988196,8.7236889,110912,2010,Western Europe,66300,2.24386,0.946
new york,united states,Developed economies,40.7127753,-74.0059728,8622698,2010,Northern America,59928,1.75541,0.92
kyiv,ukraine,Transition economies,50.4501,30.5234,2893215,2010,Eastern Europe,8694,0.556886,0.75
los angeles,united states,Developed economies,34.1391568,-118.2140883,3884307,2010,Northern America,59928,1.75541,0.92
seoul,south korea,Developing economies,37.555338,126.973312,10197604,2010,Eastern Asia,38824,1.77613,0.906
barcelona,spain,Developed economies,41.3850639,2.1734035,1620576,2010,Southern Europe,39037,0.777415,0.893
quito,ecuador,Developing economies,-0.1806532,-78.4678382,1805522,2010,South America,11501,-0.933232,0.758
montreal,canada,Developed economies,45.5016889,-73.567256,1784420,2011,Northern America,46723,1.05671,0.922
st. petersburg,united states,Developed economies,27.7676008,-82.6402915,260999,2011,Northern America,59928,1.75541,0.92
austin,united states,Developed economies,30.267153,-97.7430608,947890,2011,Northern America,59928,1.75541,0.92
maastricht,netherlands,Developed economies,50.8513597,5.691093,122397,2011,Western Europe,54503,1.30343,0.934
san francisco,united states,Developed economies,37.7749295,-122.4194155,870887,2011,Northern America,59928,1.75541,0.92
notre dame,united states,Developed economies,41.7055716,-86.2353388,6720,2011,Northern America,59928,1.75541,0.92
